Role,Skills
Data Scientist,"python,statistics,machine learning,pandas,sql"
Data Analyst,"excel,sql,power bi,statistics,python"
ML Engineer,"python,machine learning,tensorflow,docker,aws"
Backend Developer,"java,spring,sql,docker,linux"
Cloud Engineer,"aws,docker,linux,kubernetes,python"
Frontend Developer,"html,css,javascript,react,ui"
DevOps Engineer,"docker,kubernetes,linux,aws,python"
Cybersecurity Analyst,"networking,linux,security,python,wireshark"
Mobile Developer,"flutter,dart,firebase,android,ui"
AI Researcher,"python,deep learning,pytorch,research,math"
